Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1140,Stroke,KOR,2015,BTSX,ALLAges,50800000,28655.23,56.41,640192.3,1260.22
1130,Ischaemic heart disease,KOR,2015,BTSX,ALLAges,50800000,27336.31,53.81,469382.5,923.98
680,"Trachea, bronchus, lung cancers",KOR,2015,BTSX,ALLAges,50800000,18806.36,37.02,382454.3,752.86
390,Lower respiratory infections,KOR,2015,BTSX,ALLAges,50800000,17164.34,33.79,225457.5,443.81
1610,Self-harm,KOR,2015,BTSX,ALLAges,50800000,14255.41,28.06,545574,1073.96
660,Liver cancer,KOR,2015,BTSX,ALLAges,50800000,12217.01,24.05,308564.1,607.41
950,Alzheimer disease and other dementias,KOR,2015,BTSX,ALLAges,50800000,11164.96,21.98,218599.6,430.31
640,Stomach cancer,KOR,2015,BTSX,ALLAges,50800000,9534.77,18.77,217736.8,428.62
650,Colon and rectum cancers,KOR,2015,BTSX,ALLAges,50800000,9405.02,18.51,205238.6,404.01
1270,Kidney diseases,KOR,2015,BTSX,ALLAges,50800000,9188.36,18.09,195386.3,384.62
1180,Chronic obstructive pulmonary disease,KOR,2015,BTSX,ALLAges,50800000,9128.55,17.97,245233,482.74
800,Diabetes mellitus,KOR,2015,BTSX,ALLAges,50800000,8834.28,17.39,425197.3,837
1230,Cirrhosis of the liver,KOR,2015,BTSX,ALLAges,50800000,6711.46,13.21,213753.9,420.78
670,Pancreas cancer,KOR,2015,BTSX,ALLAges,50800000,5882.06,11.58,126366.8,248.75
1530,Road injury,KOR,2015,BTSX,ALLAges,50800000,5396,10.62,243508.9,479.35
752,Gallbladder and biliary tract cancer,KOR,2015,BTSX,ALLAges,50800000,4730.2,9.31,88591.41,174.39
960,Parkinson disease,KOR,2015,BTSX,ALLAges,50800000,3821.26,7.52,64106.67,126.19
1120,Hypertensive heart disease,KOR,2015,BTSX,ALLAges,50800000,3380.72,6.65,45111.76,88.8
760,"Lymphomas, multiple myeloma",KOR,2015,BTSX,ALLAges,50800000,3011.08,5.93,74600.59,146.85
30,Tuberculosis,KOR,2015,BTSX,ALLAges,50800000,2676.68,5.27,54495.8,107.28
700,Breast cancer,KOR,2015,BTSX,ALLAges,50800000,2532.86,4.99,93903.94,184.85
1550,Falls,KOR,2015,BTSX,ALLAges,50800000,2505.86,4.93,314816.6,619.72
740,Prostate cancer,KOR,2015,BTSX,ALLAges,50800000,1912.26,3.76,34603.12,68.12
770,Leukaemia,KOR,2015,BTSX,ALLAges,50800000,1894.53,3.73,58361.75,114.89
630,Oesophagus cancer,KOR,2015,BTSX,ALLAges,50800000,1689.43,3.33,37735.67,74.28
1190,Asthma,KOR,2015,BTSX,ALLAges,50800000,1682.93,3.31,88916.74,175.03
745,Kidney cancer,KOR,2015,BTSX,ALLAges,50800000,1490.02,2.93,34191.14,67.31
750,Bladder cancer,KOR,2015,BTSX,ALLAges,50800000,1470.88,2.9,27217.6,53.58
1150,"Cardiomyopathy, myocarditis, endocarditis",KOR,2015,BTSX,ALLAges,50800000,1436.19,2.83,36998.24,72.83
751,Brain and nervous system cancers,KOR,2015,BTSX,ALLAges,50800000,1397.14,2.75,46250.28,91.04
620,Mouth and oropharynx cancers,KOR,2015,BTSX,ALLAges,50800000,1293.83,2.55,33673.81,66.29
1246,Gallbladder and biliary diseases,KOR,2015,BTSX,ALLAges,50800000,1176.47,2.32,63726.51,125.45
