Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1130,Ischaemic heart disease,KOR,2019,BTSX,ALLAges,51200000,28042.75,54.77,459744.7,897.94
390,Lower respiratory infections,KOR,2019,BTSX,ALLAges,51200000,26649.92,52.05,328037,640.7
1140,Stroke,KOR,2019,BTSX,ALLAges,51200000,25596,49.99,587002.7,1146.49
680,"Trachea, bronchus, lung cancers",KOR,2019,BTSX,ALLAges,51200000,20293.08,39.63,387117.3,756.09
1610,Self-harm,KOR,2019,BTSX,ALLAges,51200000,14635.64,28.59,564837.3,1103.2
950,Alzheimer disease and other dementias,KOR,2019,BTSX,ALLAges,51200000,12144.95,23.72,245886.2,480.25
660,Liver cancer,KOR,2019,BTSX,ALLAges,51200000,11589.03,22.63,274956.9,537.03
650,Colon and rectum cancers,KOR,2019,BTSX,ALLAges,51200000,10180.33,19.88,213898.1,417.77
1270,Kidney diseases,KOR,2019,BTSX,ALLAges,51200000,10107.02,19.74,194703.1,380.28
640,Stomach cancer,KOR,2019,BTSX,ALLAges,51200000,8624.94,16.85,188345.5,367.86
1180,Chronic obstructive pulmonary disease,KOR,2019,BTSX,ALLAges,51200000,8526.48,16.65,238086,465.01
670,Pancreas cancer,KOR,2019,BTSX,ALLAges,51200000,6993.58,13.66,143987.1,281.22
800,Diabetes mellitus,KOR,2019,BTSX,ALLAges,51200000,6811.79,13.3,433777,847.22
1230,Cirrhosis of the liver,KOR,2019,BTSX,ALLAges,51200000,6348.49,12.4,195988.2,382.79
752,Gallbladder and biliary tract cancer,KOR,2019,BTSX,ALLAges,51200000,5658.58,11.05,99797.91,194.92
1530,Road injury,KOR,2019,BTSX,ALLAges,51200000,4398.88,8.59,195975.7,382.77
960,Parkinson disease,KOR,2019,BTSX,ALLAges,51200000,3951.11,7.72,63262.72,123.56
1120,Hypertensive heart disease,KOR,2019,BTSX,ALLAges,51200000,3710.74,7.25,49662.37,97
760,"Lymphomas, multiple myeloma",KOR,2019,BTSX,ALLAges,51200000,3477.06,6.79,77930.67,152.21
1550,Falls,KOR,2019,BTSX,ALLAges,51200000,2934.18,5.73,344687.6,673.22
700,Breast cancer,KOR,2019,BTSX,ALLAges,51200000,2880.2,5.63,102344.2,199.89
740,Prostate cancer,KOR,2019,BTSX,ALLAges,51200000,2315.56,4.52,40721.92,79.53
770,Leukaemia,KOR,2019,BTSX,ALLAges,51200000,2140.28,4.18,60539.17,118.24
30,Tuberculosis,KOR,2019,BTSX,ALLAges,51200000,1950.24,3.81,37041.02,72.35
750,Bladder cancer,KOR,2019,BTSX,ALLAges,51200000,1768.13,3.45,30614.34,59.79
630,Oesophagus cancer,KOR,2019,BTSX,ALLAges,51200000,1732.64,3.38,39130.61,76.43
745,Kidney cancer,KOR,2019,BTSX,ALLAges,51200000,1727.69,3.37,35184.97,68.72
751,Brain and nervous system cancers,KOR,2019,BTSX,ALLAges,51200000,1580.33,3.09,48494.49,94.72
620,Mouth and oropharynx cancers,KOR,2019,BTSX,ALLAges,51200000,1457.11,2.85,36208.69,70.72
730,Ovary cancer,KOR,2019,BTSX,ALLAges,51200000,1329.84,2.6,36343.36,70.98
1150,"Cardiomyopathy, myocarditis, endocarditis",KOR,2019,BTSX,ALLAges,51200000,1325.19,2.59,32600.76,63.67
1246,Gallbladder and biliary diseases,KOR,2019,BTSX,ALLAges,51200000,1301.04,2.54,68084.47,132.98
1190,Asthma,KOR,2019,BTSX,ALLAges,51200000,1150.46,2.25,85096.66,166.2
860,Alcohol use disorders,KOR,2019,BTSX,ALLAges,51200000,1080.59,2.11,223487.2,436.5
710,Cervix uteri cancer,KOR,2019,BTSX,ALLAges,51200000,1064.99,2.08,29657.82,57.93
110,Diarrhoeal diseases,KOR,2019,BTSX,ALLAges,51200000,928.53,1.81,38952.41,76.08
1242,Paralytic ileus and intestinal obstruction,KOR,2019,BTSX,ALLAges,51200000,761.5,1.49,14090.8,27.52
1330,Skin diseases,KOR,2019,BTSX,ALLAges,51200000,704.24,1.38,105278.2,205.62
690,Melanoma and other skin cancers,KOR,2019,BTSX,ALLAges,51200000,584.56,1.14,11290.36,22.05
490,Neonatal conditions,KOR,2019,BTSX,ALLAges,51200000,571.24,1.12,119418.3,233.24
1220,Peptic ulcer disease,KOR,2019,BTSX,ALLAges,51200000,539.64,1.05,12568.01,24.55
190,Acute hepatitis B,KOR,2019,BTSX,ALLAges,51200000,526.09,1.03,16126.92,31.5
970,Epilepsy,KOR,2019,BTSX,ALLAges,51200000,524.37,1.02,46465.81,90.75
1400,Congenital anomalies,KOR,2019,BTSX,ALLAges,51200000,517.98,1.01,77375.28,151.12
1570,Drowning,KOR,2019,BTSX,ALLAges,51200000,500.84,0.98,19200.31,37.5
1575,Exposure to mechanical forces,KOR,2019,BTSX,ALLAges,51200000,469.73,0.92,137260,268.09
754,Thyroid cancer,KOR,2019,BTSX,ALLAges,51200000,427.86,0.84,9654.18,18.86
720,Corpus uteri cancer,KOR,2019,BTSX,ALLAges,51200000,419.74,0.82,12024.18,23.48
1620,Interpersonal violence,KOR,2019,BTSX,ALLAges,51200000,386.25,0.75,35208.39,68.77
753,Larynx cancer,KOR,2019,BTSX,ALLAges,51200000,356.75,0.7,8108.26,15.84
1248,Pancreatitis,KOR,2019,BTSX,ALLAges,51200000,354.56,0.69,11452.64,22.37
580,Iron-deficiency anaemia,KOR,2019,BTSX,ALLAges,51200000,329.22,0.64,73133.38,142.84
1560,"Fire, heat and hot substances",KOR,2019,BTSX,ALLAges,51200000,263.23,0.51,38434.17,75.07
1110,Rheumatic heart disease,KOR,2019,BTSX,ALLAges,51200000,224.19,0.44,4718.76,9.22
200,Acute hepatitis C,KOR,2019,BTSX,ALLAges,51200000,167.58,0.33,3278.5,6.4
1380,Back and neck pain,KOR,2019,BTSX,ALLAges,51200000,157.34,0.31,449255.6,877.45
870,Drug use disorders,KOR,2019,BTSX,ALLAges,51200000,154.15,0.3,58367.56,114
1350,Rheumatoid arthritis,KOR,2019,BTSX,ALLAges,51200000,149.91,0.29,27154.65,53.04
755,Mesothelioma,KOR,2019,BTSX,ALLAges,51200000,145.76,0.28,3382.49,6.61
1540,Poisonings,KOR,2019,BTSX,ALLAges,51200000,115.1,0.22,10347.12,20.21
550,Protein-energy malnutrition,KOR,2019,BTSX,ALLAges,51200000,88.43,0.17,8029.03,15.68
100,HIV/AIDS,KOR,2019,BTSX,ALLAges,51200000,84.36,0.16,6484.99,12.67
850,Schizophrenia,KOR,2019,BTSX,ALLAges,51200000,77.11,0.15,130539,254.96
1244,Inflammatory bowel disease,KOR,2019,BTSX,ALLAges,51200000,66.48,0.13,8159.1,15.94
1240,Appendicitis,KOR,2019,BTSX,ALLAges,51200000,53.87,0.11,3046,5.95
